candidate,,Bennet,Bennet,Bennet,Biden,Biden,Biden,Bloomberg,Bloomberg,Bloomberg,Buttigieg,Buttigieg,Buttigieg,Delaney,Delaney,Delaney,Gabbard,Gabbard,Gabbard,Klobuchar,Klobuchar,Klobuchar,Patrick,Patrick,Patrick,Sanders,Sanders,Sanders,Steyer,Steyer,Steyer,Warren,Warren,Warren,Yang,Yang,Yang,Other,Other,Other,Uncommitted,Uncommitted,Uncommitted
round,,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE
Black Hawk,CF W1 P3,0,0,0,24,0,0.0,0,0,0.0,58,90,0.808,0,0,0,2,0,0.0,22,0,0.0,0,0,0,141,154,1.414,4,0,0.0,75,85,0.808,23,0,0.0,0,0,0.0,3,0,0.0
Black Hawk,Evansdale W2,0,0,0,2,0,0.0,0,0,0.0,10,11,0.404,0,0,0,0,0,0.0,1,0,0.0,0,0,0,7,10,0.202,0,0,0.0,2,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Black Hawk,WL 4-3,0,0,0,10,11,0.404,0,0,0.0,2,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,10,11,0.202,1,0,0.0,5,6,0.202,7,7,0.202,0,0,0.0,0,0,0.0
Black Hawk,CF W1 P2,0,0,0,30,0,0.0,0,0,0.0,67,77,0.606,0,0,0,0,0,0.0,56,76,0.606,0,0,0,98,103,1.01,11,0,0.0,75,84,0.808,16,0,0.0,0,0,0.0,0,0,0.0
Black Hawk,Eagle,0,0,0,1,0,0.0,0,0,0.0,3,0,0.0,0,0,0,0,0,0.0,6,1,0.202,0,0,0,0,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0
Black Hawk,Spring Creek,0,0,0,0,0,0.0,0,0,0.0,5,5,0.202,0,0,0,0,0,0.0,0,0,0.0,0,0,0,1,1,0.0,0,0,0.0,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Black Hawk,Union,0,0,0,17,17,0.202,0,0,0.0,7,9,0.202,0,0,0,0,0,0.0,10,10,0.202,0,0,0,3,0,0.0,0,0,0.0,3,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Black Hawk,Bennington,0,0,0,0,0,0.0,0,0,0.0,5,5,0.202,0,0,0,0,0,0.0,1,1,0.0,0,0,0,3,3,0.0,4,4,0.0,0,0,0.0,1,1,0.0,2,2,0.0,0,0,0.0
Black Hawk,Evansdale W3,0,0,0,6,7,0.202,0,0,0.0,7,10,0.404,0,0,0,0,0,0.0,3,3,0.202,0,0,0,0,0,0.0,1,0,0.0,2,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0
Black Hawk,CF W4 P2,0,0,0,6,0,0.0,0,0,0.0,40,57,0.404,0,0,0,0,0,0.0,21,0,0.0,0,0,0,106,108,0.808,1,0,0.0,67,84,0.808,13,0,0.0,0,0,0.0,1,0,0.0
